Date, Price
Jan 02 1990,7.27
Jan 03 1990,6.92
Jan 04 1990,6.5
Jan 05 1990,6.71
Jan 08 1990,6.71
Jan 09 1990,6.67
Jan 10 1990,6.92
Jan 11 1990,6.92
Jan 15 1990,6.75
Jan 16 1990,6.75
Jan 17 1990,6.54
Jan 18 1990,6.45
Jan 19 1990,5.9
Jan 22 1990,5.9
Jan 23 1990,6.2
Jan 24 1990,6.03
Jan 30 1990,5.77
Jan 31 1990,5.43
Feb 01 1990,5.43
Feb 02 1990,5.3
Feb 06 1990,5.04
Feb 07 1990,5.04
Feb 08 1990,4.7
Feb 12 1990,4.87
Feb 13 1990,4.87
Feb 14 1990,4.83
Feb 15 1990,5.09
Feb 16 1990,5.09
Feb 19 1990,4.87
Feb 20 1990,4.74
Feb 21 1990,4.83
Feb 22 1990,4.87
Feb 26 1990,4.62
Feb 28 1990,4.45
Mar 01 1990,4.7
Mar 02 1990,4.62
Mar 05 1990,4.53
Mar 06 1990,4.45
Mar 07 1990,4.53
Mar 08 1990,4.36
Mar 09 1990,4.4
Mar 13 1990,4.57
Mar 14 1990,4.53
Mar 15 1990,4.45
Mar 16 1990,4.53
Mar 19 1990,4.45
Mar 20 1990,4.79
Mar 21 1990,4.7
Mar 22 1990,4.96
Mar 23 1990,5.64
Mar 26 1990,5.73
Mar 28 1990,5.81
Mar 29 1990,5.6
Mar 30 1990,5.6
Apr 04 1990,5.3
Apr 05 1990,5.21
Apr 06 1990,5.13
Apr 09 1990,5
Apr 10 1990,5.43
Apr 12 1990,5.21
Apr 18 1990,5.47
Apr 19 1990,5.3
Apr 23 1990,6.5
Apr 24 1990,6.24
Apr 25 1990,6.2
Apr 30 1990,6.07
May 02 1990,5.77
May 03 1990,5.68
May 04 1990,5.6
May 07 1990,5.56
May 08 1990,5.77
May 10 1990,5.39
May 11 1990,5.34
May 14 1990,5.17
May 15 1990,5.43
May 17 1990,5.3
May 18 1990,5.3
May 22 1990,5.34
May 23 1990,5.56
May 24 1990,5.56
May 25 1990,5.34
May 28 1990,5.6
May 29 1990,5.6
May 30 1990,5.56
May 31 1990,5.47
Jun 01 1990,5.51
Jun 04 1990,5.56
Jun 05 1990,5.47
Jun 06 1990,5.56
Jun 11 1990,5.43
Jun 12 1990,5.43
Jun 13 1990,5.34
Jun 14 1990,5.34
Jun 15 1990,5.34
Jun 18 1990,5.56
Jun 19 1990,5.56
Jun 20 1990,5.47
Jun 21 1990,5.43
Jun 22 1990,5.98
Jun 26 1990,6.11
Jun 27 1990,6.5
Jun 28 1990,7.1
Jun 29 1990,7.91
Jul 03 1990,7.91
Jul 05 1990,8.63
Jul 06 1990,8.72
Jul 09 1990,8.42
Jul 10 1990,8.42
Jul 11 1990,8.63
Jul 12 1990,8.68
Jul 13 1990,8.42
Jul 16 1990,8.08
Jul 17 1990,8.29
Jul 18 1990,8.33
Jul 19 1990,8.33
Jul 20 1990,8.33
Jul 25 1990,10.51
Jul 26 1990,10
Jul 27 1990,10.26
Jul 30 1990,10.73
Aug 03 1990,10.09
Aug 07 1990,9.87
Aug 08 1990,9.49
Aug 09 1990,9.53
Aug 10 1990,10
Aug 13 1990,11.37
Aug 16 1990,11.71
Aug 17 1990,11.71
Aug 20 1990,13.25
Aug 21 1990,14.58
Aug 22 1990,15.52
Aug 23 1990,15.13
Aug 27 1990,15.6
Aug 28 1990,15.22
Aug 29 1990,14.36
Aug 30 1990,15.05
Sep 03 1990,15.13
Sep 04 1990,14.19
Sep 05 1990,14.02
Sep 06 1990,13.68
Sep 07 1990,13.42
Sep 10 1990,14.53
Sep 11 1990,14.79
Sep 12 1990,14.36
Sep 14 1990,13.42
Sep 18 1990,14.36
Sep 19 1990,15.05
Sep 20 1990,15.56
Sep 21 1990,16.2
Sep 25 1990,17.65
Sep 26 1990,16.75
Sep 27 1990,17.1
Oct 04 1990,16.97
Oct 11 1990,19.4
Oct 12 1990,18.21
Oct 15 1990,15.3
Oct 22 1990,14.28
